Id,Predicted
candidate11,0
candidate13,1
candidate15,1
candidate17,1
candidate22,0
candidate26,1
candidate33,1
candidate40,1
candidate42,1
candidate49,0
candidate56,0
candidate59,1
candidate60,0
candidate68,0
candidate75,1
candidate76,0
candidate77,0
candidate79,0
candidate85,0
candidate99,1
candidate100,0
candidate103,1
candidate107,1
candidate108,1
candidate112,1
candidate116,1
candidate117,0
candidate118,0
candidate128,1
candidate129,1
candidate132,1
candidate137,1
candidate144,1
candidate146,0
candidate149,1
candidate165,1
candidate167,0
candidate170,1
candidate174,1
candidate178,0
candidate189,1
candidate191,1
candidate194,1
candidate195,1
candidate197,1
candidate201,0
candidate204,1
candidate223,1
candidate239,1
candidate251,0
candidate252,0
candidate259,1
candidate264,1
candidate268,0
candidate274,1
candidate275,1
candidate278,1
candidate284,1
candidate286,1
candidate290,1
candidate300,1
candidate301,0
candidate302,0
candidate309,0
candidate312,0
candidate329,0
candidate333,0
candidate344,1
candidate346,0
candidate348,1
candidate354,1
candidate357,0
candidate360,1
candidate363,1
candidate368,1
candidate373,1
candidate384,1
candidate390,1
candidate394,1
candidate396,1
candidate397,0
candidate398,1
candidate402,0
candidate403,0
candidate412,1
candidate424,0
candidate427,0
candidate431,0
candidate439,1
candidate440,0
candidate450,1
candidate451,1
candidate455,1
candidate456,0
candidate458,0
candidate459,0
candidate463,1
candidate466,1
candidate483,1
candidate486,1
candidate489,1
candidate491,0
candidate493,1
candidate498,0
candidate499,1
candidate502,0
candidate509,1
candidate513,1
candidate524,1
candidate530,1
candidate544,1
candidate556,1
candidate563,1
candidate564,1
candidate565,1
candidate580,0
candidate582,1
